dataset	n_genomes	method	kmers	bytes	bytes_per_genome
sc2	81	bz2	50862	83076	1025.6296296296296
sc2	81	gz	50862	34415	424.87654320987656
sc2	81	repair	50862	32768	404.5432098765432
sc2	81	xz	50862	12720	157.03703703703704
sc2	82	bz2	51307	83337	1016.3048780487804
sc2	82	gz	51307	34843	424.9146341463415
sc2	82	repair	51307	33280	405.8536585365854
sc2	82	xz	51307	12816	156.29268292682926
sc2	83	bz2	51369	82224	990.6506024096385
sc2	83	gz	51369	35071	422.5421686746988
sc2	83	repair	51369	33280	400.96385542168673
sc2	83	xz	51369	12840	154.6987951807229
sc2	84	bz2	51608	81616	971.6190476190476
sc2	84	gz	51608	35329	420.5833333333333
sc2	84	repair	51608	33280	396.1904761904762
sc2	84	xz	51608	12884	153.38095238095238
sc2	85	bz2	51701	83510	982.4705882352941
sc2	85	gz	51701	35587	418.67058823529413
sc2	85	repair	51701	33280	391.52941176470586
sc2	85	xz	51701	12916	151.95294117647057
sc2	86	bz2	51856	83571	971.7558139534884
sc2	86	gz	51856	35837	416.7093023255814
sc2	86	repair	51856	33280	386.9767441860465
sc2	86	xz	51856	12952	150.6046511627907
sc2	87	bz2	52104	82162	944.3908045977012
sc2	87	gz	52104	36121	415.18390804597703
sc2	87	repair	52104	33792	388.41379310344826
sc2	87	xz	52104	13020	149.6551724137931
sc2	88	bz2	52166	83548	949.4090909090909
sc2	88	gz	52166	36352	413.09090909090907
sc2	88	repair	52166	33792	384
sc2	88	xz	52166	13048	148.27272727272728
sc2	89	bz2	52321	81754	918.5842696629213
sc2	89	gz	52321	36596	411.19101123595505
sc2	89	repair	52321	33792	379.685393258427
sc2	89	xz	52321	13076	146.92134831460675
sc2	90	bz2	52759	83580	928.6666666666666
sc2	90	gz	52759	36920	410.22222222222223
sc2	90	repair	52759	34304	381.15555555555557
sc2	90	xz	52759	13148	146.0888888888889
sc2	91	bz2	52821	91270	1002.967032967033
sc2	91	gz	52821	37251	409.35164835164835
sc2	91	repair	52821	34304	376.967032967033
sc2	91	xz	52821	13184	144.87912087912088
sc2	92	bz2	53069	95708	1040.304347826087
sc2	92	gz	53069	37514	407.7608695652174
sc2	92	repair	53069	34304	372.8695652173913
sc2	92	xz	53069	13196	143.43478260869566
sc2	93	bz2	53193	97551	1048.9354838709678
sc2	93	gz	53193	37763	406.0537634408602
sc2	93	repair	53193	34816	374.36559139784947
sc2	93	xz	53193	13224	142.19354838709677
sc2	94	bz2	53720	98592	1048.8510638297873
sc2	94	gz	53720	38087	405.1808510638298
sc2	94	repair	53720	34816	370.3829787234043
sc2	94	xz	53720	13284	141.31914893617022
sc2	95	bz2	53875	101463	1068.0315789473684
sc2	95	gz	53875	38358	403.7684210526316
sc2	95	repair	53875	35328	371.87368421052633
sc2	95	xz	53875	13340	140.42105263157896
sc2	96	bz2	54321	101568	1058
sc2	96	gz	54321	38718	403.3125
sc2	96	repair	54321	35840	373.3333333333333
sc2	96	xz	54321	13416	139.75
sc2	97	bz2	54414	101290	1044.2268041237114
sc2	97	gz	54414	39058	402.659793814433
sc2	97	repair	54414	35840	369.4845360824742
sc2	97	xz	54414	13464	138.8041237113402
sc2	98	bz2	54908	101520	1035.9183673469388
sc2	98	gz	54908	39386	401.8979591836735
sc2	98	repair	54908	36352	370.9387755102041
sc2	98	xz	54908	13540	138.16326530612244
sc2	99	bz2	54939	104241	1052.939393939394
sc2	99	gz	54939	39620	400.2020202020202
sc2	99	repair	54939	36352	367.19191919191917
sc2	99	xz	54939	13568	137.05050505050505
sc2	100	bz2	54970	104970	1049.7
sc2	100	gz	54970	39847	398.47
sc2	100	repair	54970	36864	368.64
sc2	100	xz	54970	13592	135.92
sc2	150	bz2	62203	138886	925.9066666666666
sc2	150	gz	62203	53347	355.64666666666665
sc2	150	repair	62203	44032	293.5466666666667
sc2	150	xz	62203	15612	104.08
sc2	200	bz2	70194	189446	947.23
sc2	200	gz	70194	67053	335.265
sc2	200	repair	70194	52224	261.12
sc2	200	xz	70194	17644	88.22
sc2	250	bz2	76843	239379	957.516
sc2	250	gz	76843	80429	321.716
sc2	250	repair	76843	59392	237.568
sc2	250	xz	76843	19628	78.512
sc2	300	bz2	83521	276750	922.5
sc2	300	gz	83521	94398	314.66
sc2	300	repair	83521	66560	221.86666666666667
sc2	300	xz	83521	21680	72.26666666666667
sc2	350	bz2	89321	323846	925.2742857142857
sc2	350	gz	89321	107917	308.3342857142857
sc2	350	repair	89321	73216	209.18857142857144
sc2	350	xz	89321	23684	67.66857142857143
sc2	400	bz2	95031	372940	932.35
sc2	400	gz	95031	121957	304.8925
sc2	400	repair	95031	80384	200.96
sc2	400	xz	95031	25776	64.44
sc2	450	bz2	101103	413186	918.1911111111111
sc2	450	gz	101103	135963	302.14
sc2	450	repair	101103	87552	194.56
sc2	450	xz	101103	27948	62.10666666666667
sc2	500	bz2	106466	458021	916.042
sc2	500	gz	106466	149181	298.362
sc2	500	repair	106466	92672	185.344
sc2	500	xz	106466	29892	59.784
sc2	550	bz2	111180	506449	920.8163636363637
sc2	550	gz	111180	162613	295.66
sc2	550	repair	111180	97792	177.80363636363637
sc2	550	xz	111180	31764	57.75272727272727
sc2	600	bz2	115371	548042	913.4033333333333
sc2	600	gz	115371	175968	293.28
sc2	600	repair	115371	102400	170.66666666666666
sc2	600	xz	115371	33808	56.346666666666664
sc2	650	bz2	119005	589976	907.6553846153846
sc2	650	gz	119005	188779	290.42923076923074
sc2	650	repair	119005	107008	164.6276923076923
sc2	650	xz	119005	35428	54.504615384615384
sc2	700	bz2	123710	638149	911.6414285714286
sc2	700	gz	123710	202311	289.0157142857143
sc2	700	repair	123710	112128	160.18285714285713
sc2	700	xz	123710	37384	53.40571428571429
sc2	750	bz2	128106	682989	910.652
sc2	750	gz	128106	215945	287.9266666666667
sc2	750	repair	128106	117248	156.33066666666667
sc2	750	xz	128106	39496	52.66133333333333
sc2	800	bz2	131861	722596	903.245
sc2	800	gz	131861	229238	286.5475
sc2	800	repair	131861	122368	152.96
sc2	800	xz	131861	41284	51.605
sc2	850	bz2	136462	771883	908.0976470588236
sc2	850	gz	136462	242606	285.4188235294118
sc2	850	repair	136462	126976	149.3835294117647
sc2	850	xz	136462	43188	50.809411764705885
sc2	900	bz2	140446	815936	906.5955555555555
sc2	900	gz	140446	255391	283.7677777777778
sc2	900	repair	140446	131584	146.20444444444445
sc2	900	xz	140446	45044	50.04888888888889
sc2	950	bz2	143998	854243	899.2031578947368
sc2	950	gz	143998	268334	282.45684210526315
sc2	950	repair	143998	135680	142.82105263157894
sc2	950	xz	143998	46744	49.20421052631579
sc2	1000	bz2	147590	903895	903.895
sc2	1000	gz	147590	282043	282.043
sc2	1000	repair	147590	140288	140.288
sc2	1000	xz	147590	48704	48.704
sc2	1050	bz2	151515	949965	904.7285714285714
sc2	1050	gz	151515	295045	280.9952380952381
sc2	1050	repair	151515	144896	137.99619047619046
sc2	1050	xz	151515	50616	48.205714285714286
sc2	1100	bz2	154725	988052	898.2290909090909
sc2	1100	gz	154725	308305	280.2772727272727
sc2	1100	repair	154725	148992	135.44727272727272
sc2	1100	xz	154725	52312	47.556363636363635
sc2	1150	bz2	157229	1035670	900.5826086956522
sc2	1150	gz	157229	321037	279.1626086956522
sc2	1150	repair	157229	152576	132.67478260869566
sc2	1150	xz	157229	54060	47.00869565217391
sc2	1200	bz2	160508	1082340	901.95
sc2	1200	gz	160508	333798	278.165
sc2	1200	repair	160508	156160	130.13333333333333
sc2	1200	xz	160508	55928	46.60666666666667
sc2	1250	bz2	163964	1117929	894.3432
sc2	1250	gz	163964	346962	277.5696
sc2	1250	repair	163964	160768	128.6144
sc2	1250	xz	163964	57804	46.2432
sc2	1300	bz2	166978	1167810	898.3153846153846
sc2	1300	gz	166978	360037	276.95153846153846
sc2	1300	repair	166978	164864	126.81846153846153
sc2	1300	xz	166978	59620	45.86153846153846
sc2	1350	bz2	169330	1215466	900.3451851851852
sc2	1350	gz	169330	372780	276.1333333333333
sc2	1350	repair	169330	167424	124.01777777777778
sc2	1350	xz	169330	61264	45.38074074074074
sc2	1400	bz2	172073	1250751	893.3935714285715
sc2	1400	gz	172073	385188	275.13428571428574
sc2	1400	repair	172073	171008	122.14857142857143
sc2	1400	xz	172073	62768	44.83428571428571
sc2	1450	bz2	175212	1298181	895.2972413793103
sc2	1450	gz	175212	398250	274.6551724137931
sc2	1450	repair	175212	175104	120.76137931034482
sc2	1450	xz	175212	64496	44.48
sc2	1500	bz2	178375	1348844	899.2293333333333
sc2	1500	gz	178375	411307	274.20466666666664
sc2	1500	repair	178375	178176	118.784
sc2	1500	xz	178375	66368	44.245333333333335
sc2	1550	bz2	181774	1383983	892.8922580645161
sc2	1550	gz	181774	424850	274.0967741935484
sc2	1550	repair	181774	182784	117.92516129032258
sc2	1550	xz	181774	68556	44.229677419354836
sc2	1600	bz2	185358	1431887	894.929375
sc2	1600	gz	185358	438220	273.8875
sc2	1600	repair	185358	187904	117.44
sc2	1600	xz	185358	70420	44.0125
sc2	1650	bz2	188125	1481825	898.0757575757576
sc2	1650	gz	188125	451219	273.4660606060606
sc2	1650	repair	188125	191488	116.05333333333333
sc2	1650	xz	188125	72204	43.76
sc2	1700	bz2	191065	1517261	892.5064705882353
sc2	1700	gz	191065	464476	273.22117647058826
sc2	1700	repair	191065	194048	114.14588235294117
sc2	1700	xz	191065	73980	43.51764705882353
sc2	1750	bz2	193579	1567280	895.5885714285714
sc2	1750	gz	193579	477930	273.10285714285715
sc2	1750	repair	193579	197632	112.93257142857144
sc2	1750	xz	193579	75952	43.40114285714286
sc2	1800	bz2	196643	1614862	897.1455555555556
sc2	1800	gz	196643	491279	272.9327777777778
sc2	1800	repair	196643	202752	112.64
sc2	1800	xz	196643	77996	43.33111111111111
sc2	1850	bz2	199307	1649021	891.3627027027027
sc2	1850	gz	199307	504409	272.65351351351353
sc2	1850	repair	199307	205824	111.25621621621622
sc2	1850	xz	199307	79916	43.19783783783784
sc2	1900	bz2	202368	1696198	892.7357894736842
sc2	1900	gz	202368	517556	272.3978947368421
sc2	1900	repair	202368	209920	110.48421052631579
sc2	1900	xz	202368	81916	43.113684210526316
sc2	1950	bz2	204768	1746788	895.7887179487179
sc2	1950	gz	204768	530357	271.9779487179487
sc2	1950	repair	204768	214016	109.75179487179487
sc2	1950	xz	204768	83484	42.81230769230769
sc2	2000	bz2	207805	1781325	890.6625
sc2	2000	gz	207805	543555	271.7775
sc2	2000	repair	207805	217088	108.544
sc2	2000	xz	207805	85296	42.648
sc2	2050	bz2	210270	1831078	893.2087804878049
sc2	2050	gz	210270	557093	271.75268292682927
sc2	2050	repair	210270	222720	108.64390243902439
sc2	2050	xz	210270	87336	42.60292682926829
sc2	2100	bz2	213084	1877358	893.98
sc2	2100	gz	213084	570199	271.5233333333333
sc2	2100	repair	213084	225280	107.27619047619048
sc2	2100	xz	213084	89376	42.56
sc2	2150	bz2	215630	1913118	889.8223255813954
sc2	2150	gz	215630	583243	271.27581395348835
sc2	2150	repair	215630	228864	106.44837209302325
sc2	2150	xz	215630	91124	42.38325581395349
sc2	2200	bz2	218266	1964875	893.125
sc2	2200	gz	218266	596416	271.09818181818184
sc2	2200	repair	218266	235008	106.82181818181819
sc2	2200	xz	218266	93136	42.334545454545456
sc2	2250	bz2	220677	2012741	894.5515555555555
sc2	2250	gz	220677	609711	270.98266666666666
sc2	2250	repair	220677	238080	105.81333333333333
sc2	2250	xz	220677	95068	42.25244444444444
sc2	2300	bz2	223008	2046701	889.87
sc2	2300	gz	223008	622856	270.80695652173915
sc2	2300	repair	223008	242688	105.51652173913044
sc2	2300	xz	223008	96908	42.13391304347826
sc2	2350	bz2	225705	2096786	892.2493617021277
sc2	2350	gz	225705	636108	270.6842553191489
sc2	2350	repair	225705	246272	104.79659574468086
sc2	2350	xz	225705	98924	42.09531914893617
sc2	2400	bz2	227405	2145085	893.7854166666667
sc2	2400	gz	227405	648736	270.3066666666667
sc2	2400	repair	227405	249344	103.89333333333333
sc2	2400	xz	227405	100504	41.876666666666665
sc2	2450	bz2	229496	2178736	889.28
sc2	2450	gz	229496	661686	270.07591836734696
sc2	2450	repair	229496	252928	103.23591836734694
sc2	2450	xz	229496	102088	41.668571428571425
sc2	2500	bz2	231548	2229375	891.75
sc2	2500	gz	231548	674738	269.8952
sc2	2500	repair	231548	254976	101.9904
sc2	2500	xz	231548	103640	41.456
sc2	2550	bz2	233588	2276813	892.8678431372549
sc2	2550	gz	233588	687470	269.5960784313726
sc2	2550	repair	233588	258048	101.19529411764705
sc2	2550	xz	233588	105508	41.3756862745098
sc2	2600	bz2	236266	2310200	888.5384615384615
sc2	2600	gz	236266	700192	269.3046153846154
sc2	2600	repair	236266	262144	100.82461538461538
sc2	2600	xz	236266	107308	41.27230769230769
sc2	2650	bz2	238451	2362609	891.5505660377358
sc2	2650	gz	238451	713376	269.1984905660377
sc2	2650	repair	238451	265216	100.08150943396227
sc2	2650	xz	238451	109300	41.24528301886792
sc2	2700	bz2	240488	2410704	892.8533333333334
sc2	2700	gz	240488	726168	268.9511111111111
