filename	method	genomes	kmers	bytes	compr_lines
recompressed_00000080.repair	repair	80	50583	32256	80
recompressed_00000080.xz	xz	80	50583	12624	80
recompressed_00000081.bz2	bz2	81	50862	83076	81
recompressed_00000081.gz	gz	81	50862	34415	81
recompressed_00000081.repair	repair	81	50862	32768	81
recompressed_00000081.xz	xz	81	50862	12720	81
recompressed_00000082.bz2	bz2	82	51307	83337	82
recompressed_00000082.gz	gz	82	51307	34843	82
recompressed_00000082.repair	repair	82	51307	33280	82
recompressed_00000082.xz	xz	82	51307	12816	82
recompressed_00000083.bz2	bz2	83	51369	82224	83
recompressed_00000083.gz	gz	83	51369	35071	83
recompressed_00000083.repair	repair	83	51369	33280	83
recompressed_00000083.xz	xz	83	51369	12840	83
recompressed_00000084.bz2	bz2	84	51608	81616	84
recompressed_00000084.gz	gz	84	51608	35329	84
recompressed_00000084.repair	repair	84	51608	33280	84
recompressed_00000084.xz	xz	84	51608	12884	84
recompressed_00000085.bz2	bz2	85	51701	83510	85
recompressed_00000085.gz	gz	85	51701	35587	85
recompressed_00000085.repair	repair	85	51701	33280	85
recompressed_00000085.xz	xz	85	51701	12916	85
recompressed_00000086.bz2	bz2	86	51856	83571	86
recompressed_00000086.gz	gz	86	51856	35837	86
recompressed_00000086.repair	repair	86	51856	33280	86
recompressed_00000086.xz	xz	86	51856	12952	86
recompressed_00000087.bz2	bz2	87	52104	82162	87
recompressed_00000087.gz	gz	87	52104	36121	87
recompressed_00000087.repair	repair	87	52104	33792	87
recompressed_00000087.xz	xz	87	52104	13020	87
recompressed_00000088.bz2	bz2	88	52166	83548	88
recompressed_00000088.gz	gz	88	52166	36352	88
recompressed_00000088.repair	repair	88	52166	33792	88
recompressed_00000088.xz	xz	88	52166	13048	88
recompressed_00000089.bz2	bz2	89	52321	81754	89
recompressed_00000089.gz	gz	89	52321	36596	89
recompressed_00000089.repair	repair	89	52321	33792	89
recompressed_00000089.xz	xz	89	52321	13076	89
recompressed_00000090.bz2	bz2	90	52759	83580	90
recompressed_00000090.gz	gz	90	52759	36920	90
recompressed_00000090.repair	repair	90	52759	34304	90
recompressed_00000090.xz	xz	90	52759	13148	90
recompressed_00000091.bz2	bz2	91	52821	91270	91
recompressed_00000091.gz	gz	91	52821	37251	91
recompressed_00000091.repair	repair	91	52821	34304	91
recompressed_00000091.xz	xz	91	52821	13184	91
recompressed_00000092.bz2	bz2	92	53069	95708	92
recompressed_00000092.gz	gz	92	53069	37514	92
recompressed_00000092.repair	repair	92	53069	34304	92
recompressed_00000092.xz	xz	92	53069	13196	92
recompressed_00000093.bz2	bz2	93	53193	97551	93
recompressed_00000093.gz	gz	93	53193	37763	93
recompressed_00000093.repair	repair	93	53193	34816	93
recompressed_00000093.xz	xz	93	53193	13224	93
recompressed_00000094.bz2	bz2	94	53720	98592	94
recompressed_00000094.gz	gz	94	53720	38087	94
recompressed_00000094.repair	repair	94	53720	34816	94
recompressed_00000094.xz	xz	94	53720	13284	94
recompressed_00000095.bz2	bz2	95	53875	101463	95
recompressed_00000095.gz	gz	95	53875	38358	95
recompressed_00000095.repair	repair	95	53875	35328	95
recompressed_00000095.xz	xz	95	53875	13340	95
recompressed_00000096.bz2	bz2	96	54321	101568	96
recompressed_00000096.gz	gz	96	54321	38718	96
recompressed_00000096.repair	repair	96	54321	35840	96
recompressed_00000096.xz	xz	96	54321	13416	96
recompressed_00000097.bz2	bz2	97	54414	101290	97
recompressed_00000097.gz	gz	97	54414	39058	97
recompressed_00000097.repair	repair	97	54414	35840	97
recompressed_00000097.xz	xz	97	54414	13464	97
recompressed_00000098.bz2	bz2	98	54908	101520	98
recompressed_00000098.gz	gz	98	54908	39386	98
recompressed_00000098.repair	repair	98	54908	36352	98
recompressed_00000098.xz	xz	98	54908	13540	98
recompressed_00000099.bz2	bz2	99	54939	104241	99
recompressed_00000099.gz	gz	99	54939	39620	99
recompressed_00000099.repair	repair	99	54939	36352	99
recompressed_00000099.xz	xz	99	54939	13568	99
recompressed_00000100.bz2	bz2	100	54970	104970	100
recompressed_00000100.gz	gz	100	54970	39847	100
recompressed_00000100.repair	repair	100	54970	36864	100
recompressed_00000100.xz	xz	100	54970	13592	100
recompressed_00000150.bz2	bz2	150	62203	138886	150
recompressed_00000150.gz	gz	150	62203	53347	150
recompressed_00000150.repair	repair	150	62203	44032	150
recompressed_00000150.xz	xz	150	62203	15612	150
recompressed_00000200.bz2	bz2	200	70194	189446	200
recompressed_00000200.gz	gz	200	70194	67053	200
recompressed_00000200.repair	repair	200	70194	52224	200
recompressed_00000200.xz	xz	200	70194	17644	200
recompressed_00000250.bz2	bz2	250	76843	239379	250
recompressed_00000250.gz	gz	250	76843	80429	250
recompressed_00000250.repair	repair	250	76843	59392	250
recompressed_00000250.xz	xz	250	76843	19628	250
recompressed_00000300.bz2	bz2	300	83521	276750	300
recompressed_00000300.gz	gz	300	83521	94398	300
recompressed_00000300.repair	repair	300	83521	66560	300
recompressed_00000300.xz	xz	300	83521	21680	300
